rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"PUT_TO_STORE",0,"com.redprairie.wmd.formlogic.PutToStore","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_ASSET",0,"com.redprairie.wmd.formlogic.PutawayAsset","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_DIRECTED",0,"com.redprairie.wmd.formlogic.PutawayDirected","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_GOAL_TIME",0,"com.redprairie.wmd.formlogic.PutAwayGoalTime","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_LOAD",0,"com.redprairie.wmd.formlogic.PutawayLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_PALLET_ALLOC",0,"com.redprairie.wmd.formlogic.PutawayPalletAlloc","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_PALLET_BUILD",0,"com.redprairie.wmd.formlogic.PutawayPalBld","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_SORTED",0,"com.redprairie.wmd.formlogic.PutawaySorted","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTAWAY_UNDIRECTED",0,"com.redprairie.wmd.formlogic.PutawayUndirected","dcs_data","","20210202173914","NOUSER","NOUSER"
"PUTSTORE_CARTON_COMPLETE",0,"com.redprairie.wmd.formlogic.PutstoreCartonComplete","dcs_data","","20210202173914","NOUSER","NOUSER"
"QUANTITY_CAPTURE",0,"com.redprairie.wmd.formlogic.QuantityCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"RACKQUIZ",0,"com.redprairie.wmd.formlogic.Rackquiz","dcs_data","","20210202173914","NOUSER","NOUSER"
"RE_PUTAWAY_LOAD",0,"com.redprairie.wmd.formlogic.RePutawayLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECEIPT_DSP",0,"com.redprairie.wmd.formlogic.ReceiptDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECEIVE_ASSET",0,"com.redprairie.wmd.formlogic.ReceiveAsset","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECEIVE_DATE_CONTROL",0,"com.redprairie.wmd.formlogic.ReceiveDateControl","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECEIVE_WITHOUT_ORDER",0,"com.redprairie.wmd.formlogic.ReceiveWithoutOrder","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECEIVE_WITHOUT_ORDER_REF",0,"com.redprairie.wmd.formlogic.ReceiveWithoutOrderRef","dcs_data","","20210202173914","NOUSER","NOUSER"
"RECOVER_FROM_LOST",0,"com.redprairie.wmd.formlogic.RecoverFromLost","dcs_data","","20210202173914","NOUSER","NOUSER"
"RELABEL_LOAD",0,"com.redprairie.wmd.formlogic.RelabelLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"REM_PCKS_BY_CUBE",0,"com.redprairie.wmd.formlogic.RemPcksByCube","dcs_data","","20210202173914","NOUSER","NOUSER"
"REM_PCKS_BY_PART",0,"com.redprairie.wmd.formlogic.RemPcksByPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"REMOVE_RF_OUTBOUND_AUDIT_HOLD",0,"com.redprairie.wmd.formlogic.RemoveAuditHold","dcs_data","","20210202173914","NOUSER","NOUSER"
"REOPEN_TRLR",0,"com.redprairie.wmd.formlogic.ReopenTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"REOPEN_TRUCK",0,"com.redprairie.wmd.formlogic.ReopenTruck","dcs_data","","20210202173914","NOUSER","NOUSER"
"REPL_PICK_SUMMARY",0,"com.redprairie.wmd.formlogic.ReplPickSummary","dcs_data","","20210202173914","NOUSER","NOUSER"
"REPLEN_SPLIT",0,"com.redprairie.wmd.formlogic.ReplenSplit","dcs_data","","20210202173914","NOUSER","NOUSER"
"RESET_HOME_WORK_AREA",0,"com.redprairie.wmd.formlogic.ResetHomeWorkArea","dcs_data","","20210202173914","NOUSER","NOUSER"
