pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
416,3,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H135-01_ZONE","20230609114119","20230609114119","938673","938673",0
418,50,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230720111213","20230720111213","938673","938673",0
420,51,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230720111404","20230720111404","938673","938673",0
422,52,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230720111404","20230720111404","938673","938673",0
424,53,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230720111404","20230720111404","938673","938673",0
425,54,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230720111744","20230720111744","938673","938673",0
426,55,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230720111744","20230720111744","938673","938673",0
427,56,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230720111744","20230720111744","938673","938673",0
428,57,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230720111744","20230720111744","938673","938673",0
429,58,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230720111748","20230720111748","938673","938673",0
430,59,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230720111748","20230720111748","938673","938673",0
431,60,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230720111748","20230720111748","938673","938673",0
432,61,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230720111748","20230720111748","938673","938673",0
433,62,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230720111752","20230720111752","938673","938673",0
434,63,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230720111752","20230720111752","938673","938673",0
435,64,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230720111752","20230720111752","938673","938673",0
436,65,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230720111752","20230720111752","938673","938673",0
437,66,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230724103047","20230724103047","938673","938673",0
438,67,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230724103053","20230724103053","938673","938673",0
439,68,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230724103057","20230724103057","938673","938673",0
440,69,1,"","pck_zone","pck_zone_cod","=","H245-P-02","20230724103100","20230724103100","938673","938673",0
441,70,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132309","20231023132309","939370","939370",0
442,71,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132400","20231023132400","939370","939370",0
443,72,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132439","20231023132439","939370","939370",0
444,73,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132504","20231023132504","939370","939370",0
445,74,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132525","20231023132525","939370","939370",0
446,75,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023132551","20231023132551","939370","939370",0
447,76,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135105","20231023135105","939370","939370",0
