var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"avail_flg","LES","prdlinopr","LES",0,1,1,"","",1,0,"","","dcs_data"
"avg_catch","LES","rcvdtlmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"bckflg","LES","CustomerMnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bckflg","LES","ordlinmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"bckflg","LES","ordmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"bco_flg","LES","ordmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"beg_adddte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_adddte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_candte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_candte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_cmpdte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_cmpdte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_cntdte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_cntdte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_dispatch_dte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_dispatch_dte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_expdte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_expdte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_hlddte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_hlddte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_mandte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_mandte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_trndte","ddamgtopr","WMD-CNTHSTDSP","LES",0,1,0,"","",0,0,"","publish data where beg_trndte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_trndte","ddamgtopr","WMD-DLYTRN-SUMMARY","LES",0,1,0,"","",0,0,"","publish data where beg_trndte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"beg_trndte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where beg_trndte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"begdte","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","publish data where begdte = to_date(to_char(sysdate, 'YYYYMMDD') || '000000', 'YYYYMMDDHH24MISS')","dcs_data"
"bill_anvstg_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"bill_flg","LES","doctypmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bill_freight_flg","LES","ordmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"bill_print_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"bldg_flg","LES","whcopy","LES",0,1,1,"","",1,0,"","","mcs_data"
"blind_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"blng_cyc_typ","LES","LES","LES",0,1,0,"","M",0,0,"","","dcs_data"
"blng_invc_stat2","LES","LES","LES",0,1,1,"","^billable_only^",0,0,"","","sal_data"
"box_pck_flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bto_obso_flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bto_obso_flg","LES","prtmstovrdmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bulk_pck_flg","ddamgtopr","WMD-WKOTYPMNT","LES",0,1,0,"","",1,0,"","","dcs_data"
"bulk_pck_flg","LES","procwko","LES",0,1,1,"","",1,0,"","","dcs_data"
"bulk_pck_flg","prtftpmstdfltmnt","prtftpmstdfltmnt","LES",0,1,0,"","",0,0,"","","sal_data"
