actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"TSRVLDULD","TRLR",0,0,"",0,"","","","","","",""
"TSRVTODCK","TRLR",0,0,"",0,"","","","","","",""
"TSTOSHIP","TRLR",0,0,"",0,"","","","","","",""
"TTRNARND","TRLR",0,0,"",0,"","","","","","",""
"UNDELVINV","WORK",0,1,"UNDELVINV",0,"O","","","","","",""
"UPCK","WORK",0,1,"UPCK",0,"O","","","","","",""
"USR-DELIVERY-MULTIDROP","GEN",0,0,"",0,"","","20200430153211","20200430153211","939370","939370",""
"USR-DELIVERY-PICKHOP","GEN",0,0,"",0,"","","20200429171904","20200429171904","939370","939370",""
"USR-GLN-SETUP","GEN",0,0,"",0,"","","20200424122056","20200424122056","939370","939370",""
"USR-LABEL-PRINT","GEN",0,0,"",0,"","","20200803122139","20200803122139","939370","939370",""
"VDMFST","WORK",0,1,"VDMFST",0,"O","","","","","",""
"VELRECALC","GEN",0,0,"",0,"","","","","","",""
"VOIDPKG","WORK",0,1,"VOIDPKG",0,"O","","","","","",""
"WKOMOV","GEN",0,0,"",0,"","","","","","",""
"WO_START","GEN",0,0,"",0,"","","","","","",""
"WO_STOP","GEN",0,0,"",0,"","","","","","",""
"WRKSUSP","GEN",0,0,"",0,"","","","","","",""
