dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"stoloc_wh_id_cfg_c","LES","LES","LES",0,"C","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_c","LES","whcopy","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_c","LES","whmnt","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_n","LES","invdspmw","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_n","LES","LES","LES",0,"N","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_n","LES","whcopy","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_cfg_n","LES","whmnt","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
"stoloc_wh_id_pk","LES","LES","LES",0,"E","stoloc_wh_id","disable_warehouse_field","","","dcs_data"
"submit_digital_signature_button","LES","SALMOCAReportPreview","LES",0,"A","rpt_id","cmd_submit_digital_signature_button","","","sal_data"
"subnum_barcode_parsing","dcsrdt","LES","LES",0,"A","subnum","dummy_parse_bar_code","","","dcs_data"
"subnum_barcode_parsing","LES","LES","LES",0,"A","subnum","subnum_barcode_cmd","","","dcs_data"
"subucc_barcode_parsing","dcsrdt","LES","LES",0,"A","subucc","dummy_parse_bar_code","","","dcs_data"
"subucc_barcode_parsing","LES","LES","LES",0,"A","subucc","subucc_barcode_cmd","","","dcs_data"
"supnum_cfg","dcsrdt","INV_ADJUSTMENT_DTL","LES",0,"A","supnum","configure_sup_field_rf","","","dcs_data"
"supnum_cfg","dcsrdt","RACKQUIZ","LES",0,"A","supnum","configure_sup_field_rf","","","dcs_data"
"supnum_cfg","dcsrdt","UNDIR_CASE_TRANSFER","LES",0,"A","supnum","configure_sup_field_rf","","","dcs_data"
"supnum_cfg","dcsrdt","UNDIR_RACKQUIZ","LES",0,"A","prt_client_id","configure_sup_field_at_wh_rf","","","dcs_data"
"supnum_cfg","dcsrdt","UNDIR_TRANSFER","LES",0,"A","supnum","configure_sup_field_rf","","","dcs_data"
"supnum_cfg","LES","dlytrndsp","LES",0,"A","supnum","configure_sup_cnsg_fields","","","dcs_data"
"supnum_cfg","LES","movreqopr","LES",0,"A","supnum","configure_sup_cnsg_flds_at_wh","","","dcs_data"
"supnum_cfg","LES","ordlinmnt","LES",0,"A","supnum","configure_sup_cnsg_flds_at_wh","","","dcs_data"
"supnum_cfg","LES","ordovrprocess","LES",0,"A","supnum","configure_sup_cnsg_fields","","","dcs_data"
"supnum_cfg","LES","WMD-DLYTRN-SUMMARY","LES",0,"A","supnum","configure_sup_cnsg_fields","","","dcs_data"
"supnum_cnsg_cfg","invadjopr","identify","LES",0,"A","prtnum,prt_client_id,supnum,mode","configure_sup_cnsg_fields_for_invadj","","","dcs_data"
"supnum_cnsg_cfg","LES","invchginv","LES",0,"A","supnum,cnsg_flg","configure_sup_cnsg_fields","","","dcs_data"
"supnum_cnsg_cfg","prdlinopr","identify","LES",0,"A","supnum,cnsg_flg","configure_sup_cnsg_flds_on_rcv","","","dcs_data"
"supnum_cnsg_cfg","rcvtrkopr","identify","LES",0,"A","supnum,cnsg_flg","configure_sup_cnsg_flds_on_rcv","","","dcs_data"
"sync_prt_client_id","LES","ALT_PART_CAPTURE","LES",0,"D","client_id","refresh_prt_client_id","","","sal_data"
"sync_prt_client_id","LES","INV_ADJUSTMENT_DTL","LES",0,"D","client_id","refresh_prt_client_id","","","sal_data"
"to_ctnnum_cfg","LES","LES","LES",0,"A","to_ctnnum","to_ctnnum_cmd","","","dcs_data"
"trlr_asset_fld_ena_cfg","LES","trlrmgtopr","LES",0,"A","asset_typ","set_trlr_asset_fld_ena","","","dcs_data"
"trlr_asset_fld_vis_cfg","LES","chkintrlropr","LES",0,"A","wh_id,stoloc_wh_id,yard_loc_wh_id","set_trlr_asset_fld_vis","","","dcs_data"
"trlr_asset_fld_vis_cfg","LES","clsrcvtrkopr","LES",0,"A","wh_id,stoloc_wh_id,yard_loc_wh_id","set_trlr_asset_fld_vis","","","dcs_data"
"trlr_asset_fld_vis_cfg","LES","dispatchtrlr","LES",0,"A","wh_id,stoloc_wh_id,yard_loc_wh_id","set_trlr_asset_fld_vis","","","dcs_data"
"trlr_asset_fld_vis_cfg","LES","movtrlropr","LES",0,"A","wh_id,stoloc_wh_id,yard_loc_wh_id","set_trlr_asset_fld_vis","","","dcs_data"
"trlr_asset_fld_vis_cfg","LES","trlrmgtopr","LES",0,"A","wh_id,stoloc_wh_id,yard_loc_wh_id","set_trlr_asset_fld_vis","","","dcs_data"
"trlr_num_cfg_c","LES","inbqltmnt","LES",0,"D","trlr_num","get_trnsl_trlr_num","","","dcs_data"
"trlr_num_cfg_c","LES","LES","LES",0,"C","trlr_num","get_trnsl_trlr_num","","","dcs_data"
"trlr_num_cfg_c","LES","trlrmgtopr","LES",0,"D","trlr_num","get_trnsl_trlr_num","","","dcs_data"
"trlr_num_cfg_c","RPWEB","LES","LES",0,"C","trlr_num","NONE","","","dcsweb_data"
"trlrmgtopr_fld_ena_cfg","LES","trlrmgtopr","LES",0,"E","trlr_id","set_trlrmgtopr_fld_ena","","","dcs_data"
"turn_flg_cfg","LES","clsrcvtrkopr","LES",0,"A","trknum","enable_turn_flg","","","dcs_data"
"unit_cft_c","bommnt","bomdtlmnt","LES",0,"A","ftpcod","disable_unit_field","","","dcs_data"
"unit_cft_c","wkomnt","wkodtlmnt","LES",0,"A","ftpcod","disable_unit_field","","","dcs_data"
"untqty_cft_c","ordmnt","ordlinmnt","LES",0,"A","ftpcod","disable_untqty_field","","","dcs_data"
"usr_check_dst_loc_only","dcsrdt","DEPOSIT_A","LES",10,"A","dstloc","usr_check_dst_loc_only","20210120153030","938673","usr_data"
"usr_copy_dstloc","dcsrdt","CONFIRM_SERV","LES",10,"C","non_invtid, lblNonInvtId","usr_cpy_dstloc","20200429111210","938673",""
"usr_def_asset_typ","dcsrdt","ASSET_IDENTIFY","LES",10,"A","cnfrm_asset_typ","usr_def_asset_typ_cmd","20181008100343","939370","usr_data"
"usr_def_pick_slot","dcsrdt","SLOT_DEPOSIT","LES",10,"A","slot","usr_def_pick_slot_cmd","20220112150511","939370","usr_data"
"usr_def_pos_id","dcsrdt","UNDIR_LIST_PICK","LES",10,"A","pos_id","usr_def_pos_id_cmd","20181009155948","940028","usr_data"
"usr_disable_prtclient","dcsrdt","DEPOSIT_A","LES",10,"A","prt_client_id","usr_disable_prtclient","20221129204020","938673","usr_data"
"usr_dstloc_pack_list","dcsrdt","CNFRM_SERV_VAL","LES",10,"A","trlr_num, LblTrlrnum","usr_show_dstloc","20200430160350","938673",""
"usr_pickup_a_lodnum","dcsrdt","PICKUP_A","LES",10,"A","lodnumOrdinv, dspprtcli","usr_pickup_a_lodnum_client","20221202000000","938673","usr_data"
"usr_recalc_cube","dcsrdt","DIR_LIST_PICK","LES",10,"C","total_cubes","usr_recalc_cube","20221202000000","938673",""
"usr_save_confirmation_id","dcsrdt","CONFIRM_SERV","LES",10,"A","cnfrm_serv_id","usr_save_confirmation_id","20230110000000","938673",""
"usr_toupper_dsplot","dcsrdt","PICKUP_A","LES",10,"A","dsplot","usr_to_upper_dsplot","20200515102328","938673","usr_data"
